CABLE NO.,ORIGINATION POINT,TERMINATION POINT,CABLE TYPE,"COLOR
?",WIRE 1,WIRE 2,WIRE 3,WIRE 4,WIRE 5,WIRE 6,WIRE 7,WIRE 8,WIRE 9,WIRE 10,CONDUIT SIZE,QTY,"REMARKS
??",Notes
TBV1-C1,SENSOR VACUUM UNIT PANEL,TB-V1,MTW 16 AWG ×12,W,BU,"24P2
24P",1A,1B,2A,2B,"V-SOL
0802","V-SOL
0803","V-SOL
0804","SP-
TBV1-1","SP-
TBV1-2",,"?
3.3",
TBV1-C1,SENSOR VACUUM UNIT PANEL,TB-V1,,,BU,"SP-
TBV1-3","SP-
TBV1-4",,,,,,,,,,,
TBV1-C1,SENSOR VACUUM UNIT PANEL,TB-V1,MTW 14 AWG ×1,W,G/Y,G,,,,,,,,,,,"?
3.7",
TBV1-C1,SENSOR VACUUM UNIT PANEL,TB-V1,MTW 16 AWG ×12 W,BU,"24P2
24P",1A,1B,2A,2B,"V-SOL
0802","V-SOL
0803","V-SOL
0804","SP-
TBV1-1","SP-
TBV1-2",,,"?
3.3",
TBV1-C1,SENSOR VACUUM UNIT PANEL,TB-V1,MTW 16 AWG ×12 W,BU,"SP-
TBV1-3","SP-
TBV1-4",,,,,,,,,,,,
TBV1-C1,SENSOR VACUUM UNIT PANEL,TB-V1,MTW 14 AWG ×1 W,G/Y,G,,,,,,,,,,,,"?
3.7",
TBV1-C10,SENSOR VACUUM UNIT PANEL,TB-V1,KX-S ×1,W,-,"1TM+
RED","1TM-
WHITE",,,,,,,,,,"?
6.1",
TBV1-C10,SENSOR VACUUM UNIT PANEL,TB-V1,KX-S ×1 W,-,"1TM+
RED","1TM-
WHITE",,,,,,,,,,,"?
6.1",
TBV1-C11,CONDITION MONITOR CONTROL PANEL,TB-V1,KDF-SBL 0.75 sq -4,C,-,"(BK)
P24A","(W)
N24","(R)
HV11+","(G)
HV12-","(SH)
SG G",,,,,,,"?
7",ME?????
TBV1-C11,CONDITION MONITOR CONTROL PANEL,TB-V1,KDF-SBL 0.75 sq -4 C,-,"(BK)
P24A","(W)
N24","(R)
HV11+","(G)
HV12-","(SH)
SG G",,,,,,,,"?
7",ME?????
TBV1-C12,CONDITION MONITOR CONTROL PANEL,TB-V1,KDF-SBL 0.75 sq -4,C,-,"(BK)
P24A","(W)
N24","(R)
HV21+","(G)
HV22-","(SH)
SG G",,,,,KMS-28,,"?
7",ME?????
TBV1-C12,CONDITION MONITOR CONTROL PANEL,TB-V1,KDF-SBL 0.75 sq -4 C,-,"(BK)
P24A","(W)
N24","(R)
HV21+","(G)
HV22-","(SH)
SG G",,,,,,KMS-28,,"?
7",ME?????
