epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7183,2.91137,4.86063,0.00372,0,0,0,0,2.83277,4.81959,0.00592,3e-05,3e-05,0.09703
2,13.2528,2.74308,4.84616,0.00347,0,0,0,0,2.88196,4.82022,0.00613,6.9307e-05,6.9307e-05,0.0930693
3,13.8194,3.09942,4.74993,0.00356,0,0,0,0,2.87528,4.29786,0.00406,0.000107822,0.000107822,0.0891078
4,14.4004,3.05043,4.67071,0.00359,0,0,0,0,2.87528,4.29786,0.00406,0.000145545,0.000145545,0.0851455
5,14.9743,2.97023,4.67986,0.00333,0,0,0,0,2.79604,4.29243,0.00414,0.000182476,0.000182476,0.0811825
6,15.5307,2.71166,4.63365,0.0034,0,0,0,0,2.79604,4.29243,0.00414,0.000218615,0.000218615,0.0772186
7,16.0907,2.35449,4.61121,0.00325,0,0,0,0,2.43765,4.18662,0.00374,0.000253962,0.000253962,0.073254
8,16.6498,2.35139,4.49467,0.00305,0,0,0,0,2.43765,4.18662,0.00374,0.000288517,0.000288517,0.0692885
9,17.6051,2.72614,4.40819,0.00315,0,0,0,0,2.43765,4.18662,0.00374,0.00032228,0.00032228,0.0653223
10,18.1923,2.47917,4.42803,0.00247,0.00466,0.04444,0.00384,0.00045,2.35511,4.13857,0.00351,0.000355251,0.000355251,0.0613553
11,18.7838,2.29146,4.33715,0.00275,0.00466,0.04444,0.00384,0.00045,2.35511,4.13857,0.00351,0.00038743,0.00038743,0.0573874
12,19.3609,2.87274,4.31549,0.00264,0.00466,0.04444,0.00384,0.00045,2.35511,4.13857,0.00351,0.000418817,0.000418817,0.0534188
13,19.9316,2.63405,4.26701,0.00255,0.00466,0.04444,0.00384,0.00045,2.35511,4.13857,0.00351,0.000449412,0.000449412,0.0494494
14,20.5397,2.51148,4.19129,0.00246,0.0028,0.06667,0.01094,0.00295,2.41756,4.0465,0.0035,0.000479215,0.000479215,0.0454792
15,21.1029,2.63257,4.1497,0.00225,0.0028,0.06667,0.01094,0.00295,2.41756,4.0465,0.0035,0.000508226,0.000508226,0.0415082
16,21.6691,2.30187,4.16327,0.00213,0.0028,0.06667,0.01094,0.00295,2.41756,4.0465,0.0035,0.000536445,0.000536445,0.0375364
17,22.2289,2.18314,4.12368,0.00229,0.0028,0.06667,0.01094,0.00295,2.41756,4.0465,0.0035,0.000563872,0.000563872,0.0335639
