epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.128,2.89701,8.38987,0.0085,0,0,0,0,2.37938,5.61564,0.00465,1e-05,1e-05,0.09901
2,21.1883,2.6399,8.30431,0.00707,0,0,0,0,2.40384,5.6131,0.00465,2.9802e-05,2.9802e-05,0.0970298
3,21.7407,2.5946,8.69486,0.00772,0,0,0,0,2.41866,5.61274,0.00478,4.934e-05,4.934e-05,0.0950493
4,22.6169,2.56147,8.02484,0.0061,0,0,0,0,2.01432,5.52816,0.00367,6.8614e-05,6.8614e-05,0.0930686
5,23.2532,2.51503,7.08251,0.00662,0,0,0,0,2.09071,5.48327,0.00411,8.7624e-05,8.7624e-05,0.0910876
6,23.8807,2.12241,6.82343,0.00445,0,0,0,0,2.14897,5.45602,0.00428,0.00010637,0.00010637,0.0891064
7,24.4981,1.94644,6.30627,0.00391,0,0,0,0,2.25042,5.42642,0.00472,0.000124852,0.000124852,0.0871249
8,25.4231,1.9513,6.20358,0.00337,0,0,0,0,2.29524,5.38785,0.00459,0.00014307,0.00014307,0.0851431
9,26.0519,1.97067,5.90024,0.00342,0,0,0,0,2.21937,5.35513,0.00454,0.000161024,0.000161024,0.083161
10,26.6632,1.83651,5.92839,0.00315,0,0,0,0,2.17754,5.34346,0.00439,0.000178714,0.000178714,0.0811787
11,27.2677,1.74756,5.51907,0.00317,0,0,0,0,2.27172,5.32982,0.00465,0.00019614,0.00019614,0.0791961
12,27.8963,1.82194,5.54169,0.00275,0,0,0,0,2.47956,5.31842,0.00488,0.000213302,0.000213302,0.0772133
13,28.5916,1.56893,5.46455,0.0029,0,0,0,0,2.6217,5.32972,0.00495,0.0002302,0.0002302,0.0752302
14,29.2113,1.86179,5.27076,0.00313,0,0,0,0,2.7956,5.33539,0.00504,0.000246834,0.000246834,0.0732468
15,29.846,1.85907,5.16535,0.00289,0,0,0,0,2.78563,5.33413,0.00507,0.000263204,0.000263204,0.0712632
16,30.4611,1.637,4.98567,0.00266,0,0,0,0,2.80314,5.3018,0.0051,0.00027931,0.00027931,0.0692793
17,31.0695,1.66198,5.12144,0.0026,0,0,0,0,2.57001,5.29294,0.00448,0.000295152,0.000295152,0.0672952
18,32.018,1.73875,4.87586,0.00249,0,0,0,0,2.36875,5.25958,0.00391,0.00031073,0.00031073,0.0653107
19,32.6249,1.53649,4.53072,0.00227,0,0,0,0,2.22025,5.24911,0.00385,0.000326044,0.000326044,0.063326
20,33.2224,1.47428,4.52435,0.00235,0,0,0,0,2.06723,5.25367,0.0036,0.000341094,0.000341094,0.0613411
21,33.8287,1.41825,4.29645,0.00222,0,0,0,0,1.9495,5.20305,0.00352,0.00035588,0.00035588,0.0593559
22,34.4276,1.30724,4.1652,0.00237,0,0,0,0,1.82874,5.15451,0.00327,0.000370402,0.000370402,0.0573704
23,35.0894,1.61053,4.21283,0.00232,0,0,0,0,1.68735,5.07842,0.00324,0.00038466,0.00038466,0.0553847
24,35.72,1.43381,4.21761,0.00206,0,0,0,0,1.49105,5.06757,0.00314,0.000398654,0.000398654,0.0533987
25,36.3189,1.40345,3.89005,0.00241,0,0,0,0,1.41426,5.02884,0.00297,0.000412384,0.000412384,0.0514124
26,36.9215,1.52316,4.06756,0.00254,0,0,0,0,1.39522,4.99784,0.00315,0.00042585,0.00042585,0.0494259
27,37.5349,1.40709,3.71041,0.00254,0,0,0,0,1.32562,4.96239,0.003,0.000439052,0.000439052,0.0474391
28,38.4215,1.47047,3.71457,0.0021,0,0,0,0,1.32562,4.96239,0.003,0.00045199,0.00045199,0.045452
29,39.0414,1.29425,3.85078,0.0026,0,0,0,0,1.3244,4.90619,0.00294,0.000464664,0.000464664,0.0434647
30,39.6562,1.36524,3.5912,0.00228,0,0,0,0,1.31219,4.8487,0.00293,0.000477074,0.000477074,0.0414771
31,40.2609,1.45902,3.55841,0.00203,0,0,0,0,1.31219,4.8487,0.00293,0.00048922,0.00048922,0.0394892
32,41.4276,1.36794,3.534,0.00205,0,0,0,0,1.32984,4.82362,0.00286,0.000501102,0.000501102,0.0375011
33,42.3322,1.48555,3.67298,0.00215,0,0,0,0,1.28776,4.7593,0.00286,0.00051272,0.00051272,0.0355127
34,42.9388,1.42456,4.01065,0.00241,0,0,0,0,1.28776,4.7593,0.00286,0.000524074,0.000524074,0.0335241
35,43.554,1.2607,3.3766,0.00242,0.06319,0.01222,0.03772,0.02159,1.27133,4.68698,0.00279,0.000535164,0.000535164,0.0315352
36,44.1778,1.20921,3.27129,0.00224,0.08481,0.05247,0.06661,0.05133,1.25947,4.64537,0.00268,0.00054599,0.00054599,0.029546
37,44.7731,1.41955,3.15454,0.00201,0.08481,0.05247,0.06661,0.05133,1.25947,4.64537,0.00268,0.000556552,0.000556552,0.0275566
38,45.6205,1.43717,3.57153,0.00209,0.06154,0.05601,0.06929,0.05499,1.21001,4.61356,0.00262,0.00056685,0.00056685,0.0255669
39,46.2511,1.3077,3.30983,0.00205,0.0531,0.07174,0.07383,0.05704,1.18461,4.5537,0.00263,0.000576884,0.000576884,0.0235769
40,46.8468,1.3353,3.06032,0.00226,0.0531,0.07174,0.07383,0.05704,1.18461,4.5537,0.00263,0.000586654,0.000586654,0.0215867
41,47.4664,1.24231,3.0971,0.00229,0.08735,0.14229,0.11569,0.09538,1.16952,4.45829,0.00261,0.00059616,0.00059616,0.0195962
42,48.0863,1.22261,2.8945,0.00209,0.11817,0.16305,0.14041,0.11686,1.19256,4.36274,0.00262,0.000605402,0.000605402,0.0176054
43,48.6867,1.27251,3.05618,0.00207,0.11817,0.16305,0.14041,0.11686,1.19256,4.36274,0.00262,0.00061438,0.00061438,0.0156144
44,49.3439,1.20749,2.83153,0.00199,0.11256,0.22421,0.14902,0.12707,1.20264,4.20909,0.00256,0.000623094,0.000623094,0.0136231
45,49.9338,1.33365,2.94365,0.0022,0.11256,0.22421,0.14902,0.12707,1.20264,4.20909,0.00256,0.000631544,0.000631544,0.0116315
46,50.5539,1.19476,2.93919,0.00213,0.07968,0.23691,0.14784,0.12488,1.22143,4.0495,0.00264,0.00063973,0.00063973,0.00963973
47,51.1735,1.49979,3.13804,0.00212,0.07968,0.23691,0.14784,0.12488,1.22143,4.0495,0.00264,0.000647652,0.000647652,0.00764765
48,51.8091,1.29061,2.92826,0.00176,0.05705,0.26882,0.15653,0.12742,1.20291,3.93751,0.00272,0.00065531,0.00065531,0.00565531
49,52.4322,1.28494,2.84604,0.00184,0.05705,0.26882,0.15653,0.12742,1.20291,3.93751,0.00272,0.000662704,0.000662704,0.0036627
50,53.0941,1.43891,3.00689,0.0017,0.0542,0.27111,0.15885,0.13091,1.15137,3.84242,0.00253,0.000669834,0.000669834,0.00166983
51,53.6943,1.1887,2.78347,0.00186,0.0542,0.27111,0.15885,0.13091,1.15137,3.84242,0.00253,0.00067,0.00067,0.00067
52,54.3039,1.27176,2.78815,0.00173,0.05155,0.29002,0.16843,0.13663,1.12306,3.70526,0.00253,0.0006634,0.0006634,0.0006634
53,55.0703,1.21881,2.70517,0.00188,0.05155,0.29002,0.16843,0.13663,1.12306,3.70526,0.00253,0.0006568,0.0006568,0.0006568
54,55.7031,1.30415,2.86732,0.00159,0.0428,0.29325,0.17626,0.14477,1.12652,3.64153,0.00251,0.0006502,0.0006502,0.0006502
55,56.2944,1.21056,2.82927,0.0018,0.0428,0.29325,0.17626,0.14477,1.12652,3.64153,0.00251,0.0006436,0.0006436,0.0006436
56,56.9041,1.29072,2.66554,0.00176,0.0428,0.3088,0.18303,0.15027,1.12495,3.57663,0.00249,0.000637,0.000637,0.000637
57,57.504,1.24321,2.81807,0.00206,0.0428,0.3088,0.18303,0.15027,1.12495,3.57663,0.00249,0.0006304,0.0006304,0.0006304
58,58.5176,1.55216,2.93103,0.00209,0.03434,0.31041,0.17464,0.1439,1.14355,3.46194,0.00252,0.0006238,0.0006238,0.0006238
59,59.0982,1.22757,2.7994,0.00229,0.03434,0.31041,0.17464,0.1439,1.14355,3.46194,0.00252,0.0006172,0.0006172,0.0006172
60,59.7192,1.32743,2.68812,0.00198,0.03189,0.31154,0.16616,0.13653,1.13298,3.35559,0.00251,0.0006106,0.0006106,0.0006106
61,60.3044,1.22811,2.69727,0.00173,0.03189,0.31154,0.16616,0.13653,1.13298,3.35559,0.00251,0.000604,0.000604,0.000604
62,60.9109,1.22531,2.47687,0.00248,0.04692,0.34598,0.18127,0.13876,1.10316,3.30572,0.00247,0.0005974,0.0005974,0.0005974
63,61.5078,1.23301,2.55327,0.00184,0.04692,0.34598,0.18127,0.13876,1.10316,3.30572,0.00247,0.0005908,0.0005908,0.0005908
64,62.1406,1.25062,2.44146,0.00207,0.07214,0.38605,0.21446,0.17169,1.09237,3.28035,0.00234,0.0005842,0.0005842,0.0005842
65,63.0794,1.07755,2.4836,0.00235,0.07214,0.38605,0.21446,0.17169,1.09237,3.28035,0.00234,0.0005776,0.0005776,0.0005776
66,63.7025,1.11892,2.56059,0.00221,0.0679,0.38171,0.21364,0.16637,1.14582,3.26772,0.00251,0.000571,0.000571,0.000571
67,64.2953,1.10988,2.19564,0.00176,0.0679,0.38171,0.21364,0.16637,1.14582,3.26772,0.00251,0.0005644,0.0005644,0.0005644
68,64.9126,1.26864,2.3518,0.00202,0.0657,0.37851,0.21088,0.16964,1.19032,3.29418,0.00257,0.0005578,0.0005578,0.0005578
69,65.487,1.14634,2.51447,0.00165,0.0657,0.37851,0.21088,0.16964,1.19032,3.29418,0.00257,0.0005512,0.0005512,0.0005512
70,66.1213,1.12838,2.63507,0.00169,0.04646,0.37738,0.20304,0.1649,1.18242,3.33161,0.00262,0.0005446,0.0005446,0.0005446
71,66.7015,1.2139,2.43262,0.00162,0.04646,0.37738,0.20304,0.1649,1.18242,3.33161,0.00262,0.000538,0.000538,0.000538
72,67.3728,1.21293,2.47262,0.00185,0.0591,0.41456,0.21204,0.16712,1.14035,3.3627,0.0025,0.0005314,0.0005314,0.0005314
73,67.9758,1.36521,2.45115,0.00176,0.0591,0.41456,0.21204,0.16712,1.14035,3.3627,0.0025,0.0005248,0.0005248,0.0005248
74,68.5819,1.20929,2.51432,0.00188,0.04902,0.41088,0.21002,0.16977,1.07532,3.34099,0.00236,0.0005182,0.0005182,0.0005182
75,69.1596,1.12017,2.4361,0.00195,0.04902,0.41088,0.21002,0.16977,1.07532,3.34099,0.00236,0.0005116,0.0005116,0.0005116
76,69.7522,1.09725,2.11553,0.00183,0.04588,0.40975,0.21757,0.1797,1.06092,3.29648,0.00232,0.000505,0.000505,0.000505
77,70.3656,1.22549,2.42764,0.00162,0.04588,0.40975,0.21757,0.1797,1.06092,3.29648,0.00232,0.0004984,0.0004984,0.0004984
78,71.1707,1.08404,2.23338,0.00157,0.19642,0.29874,0.2177,0.17749,1.06544,3.30756,0.00227,0.0004918,0.0004918,0.0004918
79,71.7604,1.12171,2.14078,0.00179,0.19642,0.29874,0.2177,0.17749,1.06544,3.30756,0.00227,0.0004852,0.0004852,0.0004852
80,72.3654,1.29599,2.56899,0.00171,0.21169,0.29106,0.21804,0.17257,1.09113,3.26434,0.00223,0.0004786,0.0004786,0.0004786
81,72.9867,1.24688,2.31333,0.00173,0.21169,0.29106,0.21804,0.17257,1.09113,3.26434,0.00223,0.000472,0.000472,0.000472
82,73.6169,1.12902,2.29107,0.00155,0.28296,0.19762,0.21932,0.17223,1.0659,3.24895,0.00217,0.0004654,0.0004654,0.0004654
83,74.2042,1.16243,2.43373,0.002,0.28296,0.19762,0.21932,0.17223,1.0659,3.24895,0.00217,0.0004588,0.0004588,0.0004588
