epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.55743,2.87872,4.87184,0.00301,0.542,0.01111,0.01106,0.00224,3.00246,4.62978,0.00439,0,0,0.1
2,13.1317,2.94478,4.93494,0.0029,0.54686,0.01111,0.01106,0.00224,2.96606,4.62404,0.00437,9.901e-06,9.901e-06,0.0990099
3,13.7124,2.66937,5.06291,0.0032,0.71823,0.01111,0.01106,0.00224,2.92343,4.62917,0.00431,1.9604e-05,1.9604e-05,0.0980196
4,15.0721,2.61755,4.97955,0.00313,0.72397,0.01111,0.01106,0.00227,2.89986,4.62364,0.0043,2.9109e-05,2.9109e-05,0.0970291
5,15.5073,3.0126,4.87415,0.00323,0.76227,0.01111,0.01107,0.00229,2.88054,4.62599,0.00429,3.8416e-05,3.8416e-05,0.0960384
6,15.9784,2.58609,5.15515,0.00291,0.20477,0.02863,0.01055,0.00305,2.67143,4.41373,0.00368,4.7525e-05,4.7525e-05,0.0950475
7,16.5614,2.86556,4.48714,0.00335,0.20023,0.01894,0.01138,0.0033,2.7009,4.40448,0.00382,5.6436e-05,5.6436e-05,0.0940564
8,17.1497,2.84337,4.52617,0.00357,0.03988,0.01966,0.02152,0.00686,2.12573,4.42985,0.0035,6.5149e-05,6.5149e-05,0.0930651
9,18.3362,2.25067,3.97755,0.00282,0.03988,0.01966,0.02152,0.00686,2.12573,4.42985,0.0035,7.3664e-05,7.3664e-05,0.0920737
10,18.9748,3.27229,3.99402,0.00331,0.51158,0.01111,0.00138,0.00046,2.25532,4.8921,0.0035,8.1981e-05,8.1981e-05,0.091082
11,19.509,2.54941,3.61494,0.00236,0.51158,0.01111,0.00138,0.00046,2.25532,4.8921,0.0035,9.01e-05,9.01e-05,0.0900901
12,20.0411,2.96283,3.69696,0.00262,0.00066,0.01111,0.00023,2e-05,2.55628,5.60854,0.00364,9.8021e-05,9.8021e-05,0.089098
13,20.5617,2.7417,3.37969,0.00244,0.00066,0.01111,0.00023,2e-05,2.55628,5.60854,0.00364,0.000105744,0.000105744,0.0881057
14,21.1296,2.84428,3.51063,0.00226,0.16789,0.01111,0.00025,2e-05,2.5051,5.90505,0.00364,0.000113269,0.000113269,0.0871133
15,22.8845,2.3322,3.2047,0.00222,0.16789,0.01111,0.00025,2e-05,2.5051,5.90505,0.00364,0.000120596,0.000120596,0.0861206
16,23.4099,2.33338,3.27052,0.00218,0.01045,0.01111,0.00144,0.00014,2.30978,5.95841,0.00342,0.000127725,0.000127725,0.0851277
17,23.9447,2.28981,2.93913,0.00199,0.01045,0.01111,0.00144,0.00014,2.30978,5.95841,0.00342,0.000134656,0.000134656,0.0841347
18,24.4897,2.32552,3.08613,0.00207,0.0028,0.04444,0.00159,0.00027,2.18763,5.7084,0.00326,0.000141389,0.000141389,0.0831414
19,24.9858,2.15466,2.7724,0.00188,0.0028,0.04444,0.00159,0.00027,2.18763,5.7084,0.00326,0.000147924,0.000147924,0.0821479
20,25.5266,2.01192,2.80763,0.0019,0.001,0.01111,0.0008,0.00023,2.17146,5.32952,0.00317,0.000154261,0.000154261,0.0811543
21,26.0363,2.24042,2.58408,0.00181,0.001,0.01111,0.0008,0.00023,2.17146,5.32952,0.00317,0.0001604,0.0001604,0.0801604
22,26.5476,1.87923,2.66058,0.00163,0.00167,0.02222,0.00101,0.00027,2.30504,5.0998,0.00336,0.000166341,0.000166341,0.0791663
23,27.9052,1.78316,2.78159,0.00177,0.00167,0.02222,0.00101,0.00027,2.30504,5.0998,0.00336,0.000172084,0.000172084,0.0781721
24,28.4148,1.85912,2.66201,0.00177,0.00167,0.02222,0.00101,0.00027,2.30504,5.0998,0.00336,0.000177629,0.000177629,0.0771776
25,28.9566,2.13686,2.59392,0.00174,0.00129,0.01111,0.00081,0.00031,2.46224,4.79792,0.00344,0.000182976,0.000182976,0.076183
26,29.4506,2.18266,2.61688,0.00152,0.00129,0.01111,0.00081,0.00031,2.46224,4.79792,0.00344,0.000188125,0.000188125,0.0751881
27,29.955,1.99353,2.5763,0.00148,0.00129,0.01111,0.00081,0.00031,2.46224,4.79792,0.00344,0.000193076,0.000193076,0.0741931
28,30.4855,1.78979,2.35054,0.00161,0.00353,0.02222,0.00215,0.00077,2.46147,4.67405,0.0034,0.000197829,0.000197829,0.0731978
