epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.8129,2.61679,4.52275,1.36863,0.00083,0.03333,0.00128,0.0005,2.40023,4.24184,1.34388,3e-05,3e-05,0.09703
2,72.0266,2.67859,4.19808,1.27093,0.00083,0.03333,0.00128,0.00047,2.28628,4.12723,1.30835,6.9307e-05,6.9307e-05,0.0930693
3,105.91,2.36035,3.89675,1.18684,0.00083,0.03333,0.00292,0.00153,2.27417,4.02935,1.27846,0.000107822,0.000107822,0.0891078
4,140.096,2.56883,3.80079,1.18823,0.00083,0.03333,0.00292,0.00153,2.27417,4.02935,1.27846,0.000145545,0.000145545,0.0851455
5,175.545,2.73518,3.61753,1.20914,0.00111,0.04444,0.00406,0.00197,2.28242,3.93305,1.19748,0.000182476,0.000182476,0.0811825
6,215.746,2.72267,3.51045,1.19675,0.00111,0.04444,0.00406,0.00197,2.28242,3.93305,1.19748,0.000218615,0.000218615,0.0772186
7,254.272,2.52616,3.31116,1.10305,0.0025,0.1,0.01956,0.01379,2.14035,3.78998,1.10974,0.000253962,0.000253962,0.073254
8,290.867,2.41166,3.19757,1.10167,0.0025,0.1,0.01956,0.01379,2.14035,3.78998,1.10974,0.000288517,0.000288517,0.0692885
9,323.96,2.34961,3.21467,1.12058,0.0025,0.1,0.01956,0.01379,2.14035,3.78998,1.10974,0.00032228,0.00032228,0.0653223
10,354.171,2.03367,2.81471,1.03516,0.12752,0.10641,0.07478,0.04077,1.84885,3.57669,1.0167,0.000355251,0.000355251,0.0613553
11,393.504,2.5106,2.88854,1.11695,0.12752,0.10641,0.07478,0.04077,1.84885,3.57669,1.0167,0.00038743,0.00038743,0.0573874
12,426.004,1.89526,2.74608,1.03237,0.12752,0.10641,0.07478,0.04077,1.84885,3.57669,1.0167,0.000418817,0.000418817,0.0534188
13,459.51,2.19614,2.89793,1.04182,0.12752,0.10641,0.07478,0.04077,1.84885,3.57669,1.0167,0.000449412,0.000449412,0.0494494
14,494.07,2.42768,3.00552,1.05195,0.21098,0.2515,0.20937,0.11666,1.80289,3.17512,0.99697,0.000479215,0.000479215,0.0454792
15,528.349,2.06521,2.68582,1.06442,0.21098,0.2515,0.20937,0.11666,1.80289,3.17512,0.99697,0.000508226,0.000508226,0.0415082
16,565.773,2.09742,2.6151,1.07114,0.21098,0.2515,0.20937,0.11666,1.80289,3.17512,0.99697,0.000536445,0.000536445,0.0375364
17,600.234,2.15143,2.74908,1.04178,0.21098,0.2515,0.20937,0.11666,1.80289,3.17512,0.99697,0.000563872,0.000563872,0.0335639
18,637.318,1.82495,2.45381,1.03931,0.21098,0.2515,0.20937,0.11666,1.80289,3.17512,0.99697,0.000590507,0.000590507,0.0295905
19,678.809,2.16168,2.56931,1.06003,0.21098,0.2515,0.20937,0.11666,1.80289,3.17512,0.99697,0.00061635,0.00061635,0.0256163
20,712.925,2.04434,2.64781,1.03363,0.35172,0.17472,0.22691,0.13344,1.92095,2.55569,1.03627,0.000641401,0.000641401,0.0216414
21,751.774,2.50106,2.64021,1.04287,0.35172,0.17472,0.22691,0.13344,1.92095,2.55569,1.03627,0.00066566,0.00066566,0.0176657
22,786.932,1.95187,2.35435,1.02769,0.35172,0.17472,0.22691,0.13344,1.92095,2.55569,1.03627,0.000689127,0.000689127,0.0136891
23,823.816,1.92339,2.4338,1.01321,0.35172,0.17472,0.22691,0.13344,1.92095,2.55569,1.03627,0.000711802,0.000711802,0.0097118
24,857.114,2.201,2.74065,1.05489,0.35172,0.17472,0.22691,0.13344,1.92095,2.55569,1.03627,0.000733685,0.000733685,0.00573369
