Order Number,Drawing Number,Equipment,Cable Number,Originating Point,Termination Point,Cable Type,Cable Color,Wire1,Wire2,Wire3,Wire4,Wire5,Wire6,Wire7,Wire8,Wire9,Wire10,Conduit Size,Conduit Qty,Notes
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,PP-M1-P1-1,POWER PANEL,MOTOR 1,CE-KMTW 50 sq X 3 w,BK,U1,V1,W1,,,,,,,,KMS-54,14.7,
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,PP-M1-P1-2,POWER PANEL,100kW (155A),CE-KMTW 50 sq X 1 W,G/Y,G,,,,,,,,,,KMS-54,14.7,Cable supplied
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,PP-M1-P2,POWER PANEL,MOTOR 1,CE-KMTW 50 sq X 3 w,BK,U1,V1,W1,,,,,,,,KMS-54,14.7,Cable supplied
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,PP-M1-P3,POWER PANEL,FAN OF M1,UE/STO (N)/TC LF 16 AWG - 4E,,FU1,FV1,FW1,CUT,,,,,,,KMS-22,11.2,Cable supplied
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,PP-M1-L1,POWER PANEL,ENCODER OF MOTOR 1,SC-ENECBL40M-H X 1W,,<FOR ENCODER>,<エンコーダケーブル>,<CAB22>,,,,,,,,KMS-28,10,Cable supplied
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,PP-M2-P1-1,POWER PANEL,MOTOR 2,CE-KMTW 25 sq X 3 w,BK,U2,V2,W2,,,,,,,,KMS-42,10.7,Cable supplied
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,PP-M2-P1-2,POWER PANEL,MOTOR 2,CE-KMTW 25 sq X 1 w,G/Y,G,,,,,,,,,,KMS-42,10.7,Cable supplied
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,PP-M40-P1-1,POWER PANEL,M40,CE-KMTW 70 sq X 3 w,BK,U40,V40,W40,,,,,,,,KMS-54,16.8,Cable supplied
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,PP-M40-P1-2,POWER PANEL,M40,CE-KMTW 50 sq X 1 w,G/Y,G,,,,,,,,,,KMS-54,14.7,Cable supplied
45072,151-E8810:401-0,UH1650 DIE CASTING MACHINE,PP-M40-P2,POWER PANEL,M40 (FAN),UE/STO (N)/TC LF 14 AWG - 4E,,FU40,FV40,FW40,CUT,,,,,,,KMS-28,15.2,Cable supplied
