Location,Symbol Text,Description,Part Number,Quantity,Manufacturer,Notes,Number,Drawing Number,Equipment,Order Number
 POWER PANEL,MCB10,CIRCUIT BREAKER,BW400RAGU-3P400F=AC100-240V,1,FUJI,UL489 50KA,1,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MCB10,HANDLE,BW9NOHA,1,FUJI,UL489 50KA,1,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MCB10,COVER,BW9BTHA-L3,1,FUJI,UL489 50KA,1,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,F10,FUSE,LPJ-3SP,1,BUSSMANN,UL 300kA. ● mark in the remarks column means Ube-supplied item.,2,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,F11,FUSE,LPJ-3SP,1,BUSSMANN,UL 300kA. ● mark in the remarks column means Ube-supplied item.,2,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,F12,FUSE,LPJ-3SP,1,BUSSMANN,UL 300kA. ● mark in the remarks column means Ube-supplied item.,2,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,F13,HOLDER,JTN60030,1,,,2,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,F14,HOLDER,JTN60030,1,,,2,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,,Branch terminal,OTP-7000-6P-SCCR W: SINGLE COVER,1set,OSADA,,3,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,ELB11,EARTH LEAKAGE BREAKER,"EW250RAGU-3P225KWA-4L 250AF/225AT, 100mA",2,FUJI,UL489 50kA,4,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,ELB20,EARTH LEAKAGE BREAKER,"EW125JAGU-3P015BWA-4L 125AF/15AT, 30mA",1,FUJI,UL489 30kA,5,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,ELB21,EARTH LEAKAGE BREAKER,"EW125JAGU-3P015BWA-4L 125AF/15AT, 30mA",1,FUJI,UL489 30kA,5,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,ELB21,EARTH LEAKAGE BREAKER,"EW125JAGU-3P015BWA-4L 125AF/15AT, 30mA",1,FUJI,UL489 30kA,6,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,ELB40,EARTH LEAKAGE BREAKER,"EW125JAGU-3P015BWA-4L 125AF/15AT, 30mA",1,FUJI,UL489 30kA,7,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,ELB41,EARTH LEAKAGE BREAKER,"EW125JAGU-3P015BWA-4L 125AF/15AT, 30mA",1,FUJI,UL489 30kA,8,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,ELB50,EARTH LEAKAGE BREAKER,"EW125JAGU-3P060KWA-4L 125AF/60AT, 100mA",1,FUJI,UL489 30kA,9,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,ELB51,EARTH LEAKAGE BREAKER,"EW125JAGU-3P020K-4L 125AF/20AT, 100mA",1,FUJI,UL489 30kA,10,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,ELB52,EARTH LEAKAGE BREAKER,"EW125JAGU-3P030K-4L 125AF/30AT, 100mA",1,FUJI,UL489 30kA,11,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,ELB53,EARTH LEAKAGE BREAKER,"EW125JAGU-3P030K-4L 125AF/30AT, 100mA",1,FUJI,UL489 30kA,11,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,ELB70,EARTH LEAKAGE BREAKER,"EW50RAGU-3P020B 50AF/20AT, 30mA",1,FUJI,UL489 14kA,12,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,ELB70,COVER,BW9BTAA-S3,1,FUJI,UL489 14kA,12,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,ELB71,EARTH LEAKAGE BREAKER,"EW50RAGU-3P005B 50AF/5AT, 30mA",1,FUJI,UL489 14kA,13,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,ELB71,COVER,BW9BTAA-S3,1,FUJI,UL489 14kA,13,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,ELB80,EARTH LEAKAGE BREAKER,"EW50RAGU-3P010B 50AF/10AT, 30mA",1,FUJI,UL489 14kA,14,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,ELB80,COVER,BW9BTAA-S3,1,FUJI,UL489 14kA,14,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,ELB93,EARTH LEAKAGE BREAKER,"EW50RAGU-3P020B 50AF/20AT, 30mA",1,FUJI,UL489 14kA,15,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,ELB93,COVER,BW9BTAA-S3,1,FUJI,UL489 14kA,15,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,ELB150,EARTH LEAKAGE BREAKER,"EW50RAGU-3P010B 50AF/10AT, 30mA",1,FUJI,UL489 14kA,16,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,ELB150,COVER,BW9BTAA-S3,1,FUJI,UL489 14kA,16,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,ELB160,EARTH LEAKAGE BREAKER,QCGF1015 1P 120VAC 15AT 5mA,2,MOELLER,UL,17,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,ELB161,DIN Rail Adapter,QCDINADAPT,2,MOELLER,UL,17,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,ELB430,EARTH LEAKAGE BREAKER,"EW50RAGU-3PO30KWA 50AF/30AT, 100mA",1,FUJI,UL489 14kA,18,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,ELB430,COVER,BW9BTAA-S3,1,FUJI,UL489 14kA,18,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,ELB451,EARTH LEAKAGE BREAKER,"NV50-SVFU-3P-20A-AC100V -100mA-F 50AF/20AT,100mA",1,MITSUBISHI,UL489 14kA,19,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,ELB451,COVER,TCL-03SVU3,1,MITSUBISHI,UL489 14kA,19,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MCB54,CIRCUIT BREAKER,BW50RAGU-3P032 50AF/32AT,2,FUJI,UL489 14kA,20,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MCB55,COVER,BW9BTAA-S3,2,FUJI,UL489 14kA,20,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MCB60,CIRCUIT BREAKER,BW50RBGU-3P020 50AF/20AT,1,FUJI,UL489 18kA,21,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MCB60,COVER,BW9BTAA-S3,1,FUJI,UL489 18kA,21,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MCB66,CIRCUIT BREAKER,BW50RBGU-3P005 50AF/5AT,1,FUJI,UL489 18kA,22,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MCB66,COVER,BW9BTAA-S3,2,FUJI,UL489 18kA,22,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MCB67,CIRCUIT BREAKER,BW50RBGU-3P010,1,FUJI,UL489 18kA,23,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MCB67,COVER,BW9BTAA-S3,1,FUJI,UL489 18kA,,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MCB450,CIRCUIT BREAKER,BW50RAGU-2P020,1,FUJI,UL489 14kA,25,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MCB450,COVER,BW9BTAA-S2,1,FUJI,UL489 14kA,,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MCB110,CIRCUIT BREAKER,140U-D6D2-B80,1,Allen-Bradley,UL489 100kA,27,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MCB130,CIRCUIT BREAKER,BW125JAGU-3P015-4L,1,FUJI,UL489 30kA,28,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MCB140,CIRCUIT BREAKER,140U-D6D2-C10,1,Allen-Bradley,UL489 100kA,29,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
 POWER PANEL,MCB150,CIRCUIT BREAKER,140U-D6D2-C10,1,Allen-Bradley,UL489 100kA,30,151-E8810:601-0,UH1650 DIE CASTING MACHINE,45072
