Item,Item Description,Item Status,Quantity,Subinventory,UOM,Cost,Organization
AJ-2570-M-P2-NEW,LOCKING SYTLE METRIC PAD RETAINER,Inactive,0,,,75,AAC KOKI
B-0581-P1,1ZO038A.......B-581  UC26M250  ERON,Active,15,STOCK CAGE,EA,156.34,AAC KOKI
B-0581-P2,2A080A.....B-581  UC26M250  ERON,Active,20,STOCK CAGE,EA,82.15,AAC KOKI
B-0582-P2-NEW,2A027A.....ECI 000..... TA-B2 12X380 SOCKET BOLT,Active,12,STOCK CAGE,EA,14.35,AAC KOKI
B-0583-P1,1ZO037A.....B-583  BM24175  NABEYA,Active,39,STOCK CAGE,EA,17.48,AAC KOKI
B-0583-P2,2A042C.....B-583  BM24175  NABEYA,Active,10,STOCK CAGE,EA,17.48,AAC KOKI
B-0584-P1,1ZO037B.....B-584  BM24200  ERON,Active,32,STOCK CAGE,EA,15.43,AAC KOKI
B-0584-P2,2A042B.....B-584  BM24200  ERON,Active,8,STOCK CAGE,EA,12.52,AAC KOKI
B-0585-P1,1ZO037D.....B-585  BM24150  ERON,Active,33,STOCK CAGE,EA,16.93,AAC KOKI
B-0585-P2,2A042D.....B-585  BM24150  ERON,Active,7,STOCK CAGE,EA,16.93,AAC KOKI
B-0586-P1,1ZO037C.....B-586  BM24125  ERON,Active,29,STOCK CAGE,EA,12.33,AAC KOKI
B-0586-P2,2A042A.....B-586  BM24125  ERON,Active,4,STOCK CAGE,EA,9.99,AAC KOKI
B-0587-P1,"1ZO037E.....B-587  TNM824(24MM THREAD HOLE,null,null);;;  ERON",Active,25,STOCK CAGE,EA,18.29,AAC KOKI
B-0587-P2,"2A080G.....B-587  TNM824(24MM THREAD HOLE,null,null);;;  ERON",Active,15,STOCK CAGE,EA,18.29,AAC KOKI
B-0588-P1,"1ZO037F.....B-588  FNM0024(24X3.0,null,null);;;  ERON",Active,32,STOCK CAGE,EA,16.93,AAC KOKI
B-0588-P2,"2A080H.....B-588  FNM0024(24X3.0,null,null);;;  ERON",Active,10,STOCK CAGE,EA,16.93,AAC KOKI
B-100-HEXB11-TA-A1-20X090,2A053A.....B-100 TA-A1-20X090  NISSEI SEIKO,Active,15,STOCK CAGE,EA,2.25,AAC KOKI
B-101-HEXB11-TA-A1-20X100,2A053B.....TA-A1-20X100  NISSEI SEIKO,Active,10,STOCK CAGE,EA,1.8,AAC KOKI
B-102-HEXB11-TA-A1-20X105,2A053D.....B-102 TA-A1-20X105  NISSEI SEIKO,Active,14,STOCK CAGE,EA,6.82,AAC KOKI
B-103-HEXB11-TA-A1-20X110,2A053E.....B-103  TA-A1-20X110  NISSEI SEIKO,Active,16,STOCK CAGE,EA,1.9,AAC KOKI
B-104-HEXB11-TA-A1-20X115,2A053F.....B-104  TA-A1-20X115  NISSEI SEIKO,Active,0,,,2.78,AAC KOKI
B-105-HEXB11-TA-A1-20X120,2A053G.....B-105  TA-A1-20X120  NISSEI SEIKO,Active,20,STOCK CAGE,EA,2.25,AAC KOKI
B-106-HEXB11-TA-A1-20X130,2A054B.....B-106  TA-A1-20X130  NISSEI SEIKO,Active,0,,,2.9945,AAC KOKI
B-107-HEXB11-TA-A1-20X140,2A054D.....B-107  TA-A1-20X140  NISSEI SEIKO,Active,20,STOCK CAGE,EA,2.99,AAC KOKI
B-108-HEXB11-TA-A1-20X145,2A054E.....B-108  TA-A1-20X145  NISSEI SEIKO,Active,16,STOCK CAGE,EA,6.61,AAC KOKI
B-109-HEXB11-TA-A1-20X150,2A054F.....B-109  TA-A1-20X150  NISSEI SEIKO,Active,20,STOCK CAGE,EA,3.2,AAC KOKI
B-110-HEXB11-TA-A1-20X160,2A054G.....B-110  TA-A1-20X160  NISSEI SEIKO,Active,5,STOCK CAGE,EA,11.21,AAC KOKI
B-111-HEXB11-TA-A1-20X170,2A055C.....B-111  TA-A1-20X170  NISSEI SEIKO,Active,20,STOCK CAGE,EA,3.46,AAC KOKI
B-112-HEXB11-TA-A1-20X180,2A055E.....B-112  TA-A1-20X180  NISSEI SEIKO,Active,9,STOCK CAGE,EA,18.39,AAC KOKI
B-113-HEXB11-TA-A1-20X190,2A056A.....B-113  TA-A1-20X190  NISSEI SEIKO,Active,3,STOCK CAGE,EA,4.33,AAC KOKI
B-114-HEXB11-TA-A1-20X200,2A056B.....B-114  TA-A1-20X200  NISSEI SEIKO,Active,5,STOCK CAGE,EA,26.26,AAC KOKI
B-115-HEXB11-TA-A1-20X210,2A056C.....B-115  TA-A1-20X210  NISSEI SEIKO,Active,3,STOCK CAGE,EA,5.96,AAC KOKI
B-116-HEXB11-TA-A1-20X220,2A056E.....B-116  TA-A1-20X220  NISSEI SEIKO,Active,10,STOCK CAGE,EA,7.7,AAC KOKI
B-117-HEXB11-TA-A1-20X230,2A056G.....B-117  TA-A1-20X230  NISSEI SEIKO,Active,11,STOCK CAGE,EA,5.15,AAC KOKI
B-118-HEXB11-TA-A1-20X240,2A057A.....B-118  TA-A1-20X240  NISSEI SEIKO,Active,12,STOCK CAGE,EA,8.49,AAC KOKI
B-119-HEXB11-TA-A1-20X250,2A057C.....B-119  TA-A1-20X250  NISSEI SEIKO,Active,7,STOCK CAGE,EA,7.47,AAC KOKI
B-11-HEXB11-TA-A1-08X020,2A042F.....TA-A1-08X020  NISSEI SEIKO,Active,18,STOCK CAGE,EA,0.07,AAC KOKI
B-120-HEXB11-TA-A1-20X270,2A057G.....B-120  TA-A1-20X270  NISSEI SEIKO,Active,7,STOCK CAGE,EA,15.84,AAC KOKI
B-121-HEXB11-TA-A1-20X280,2A058A.....B-121  TA-A1-20X280  NISSEI SEIKO,Active,11,STOCK CAGE,EA,16.4,AAC KOKI
B-122-HEXB11-TA-A1-20X290,2A058C.....B-122  TA-A1-20X290  NISSEI SEIKO,Active,7,STOCK CAGE,EA,18.8,AAC KOKI
B-123-HEXB11-TA-A1-20X300,2A058E.....B-123  TA-A1-20X300  NISSEI SEIKO,Active,12,STOCK CAGE,EA,6.18,AAC KOKI
B-124-HEXB11-TA-A1-20X310,2A058G.....B-124  TA-A1-20X310  NISSEI SEIKO,Active,5,STOCK CAGE,EA,26.79,AAC KOKI
B-125-HEXB11-TA-A1-20X320,2A059A.....B-125  TA-A1-20X320  NISSEI SEIKO,Active,12,STOCK CAGE,EA,36.39,AAC KOKI
B-126-HEXB11-TA-A1-20X335,2A059C.....B-126  TA-A1-20X335  NISSEI SEIKO,Active,20,STOCK CAGE,EA,34.75,AAC KOKI
B-127-HEXB11-TA-A1-20X340,2A059E.....B-127  TA-A1-20X340  NISSEI SEIKO,Active,20,STOCK CAGE,EA,6.28,AAC KOKI
B-128-HEXB11-TA-A1-20X165,2A055A.....B-128  TA-A1-20X165  NISSEI SEIKO,Active,16,STOCK CAGE,EA,3.41,AAC KOKI
B-12-HEXB11-TA-A1-08X070,2A042G.....TA-A1-08X070  NISSEI SEIKO,Active,13,STOCK CAGE,EA,0.58,AAC KOKI
B-130-HEXB11-TA-A1-20X260,2A057E.....B-130  TA-A1-20X260  NISSEI SEIKO,Active,8,STOCK CAGE,EA,14.23,AAC KOKI
B-131-HEXB11-TA-A1-20X125,2A054A.....B-131  TA-A1-20X125  NISSEI SEIKO,Active,6,STOCK CAGE,EA,4.7,AAC KOKI
B-132-HEXB11-TA-A1-20X135,2A054C.....B-132  TA-A1-20X135  NISSEI SEIKO,Active,0,,,7.84,AAC KOKI
B-133-HEXB11-TA-A1-20X185,2A055G.....B-133  TA-A1-20x185  NISSEI SEIKO,Active,7,STOCK CAGE,EA,11.08,AAC KOKI
B-13-HEXB11-TA-A1-08X095,2A042H.....TA-A1-08X095  NISSEI SEIKO,Active,8,STOCK CAGE,EA,0.64,AAC KOKI
B-141-HEXB11-TA-A1-22X070,2A059G.....B-141  TA-A1-22X070  NISSEI SEIKO,Active,10,STOCK CAGE,EA,5.12,AAC KOKI
B-14-HEXB11-TA-A1-08X100,2A043A.....TA-A1-08X100  NISSEI SEIKO,Active,37,STOCK CAGE,EA,0.58,AAC KOKI
B-151-HEXB11-TA-A1-24X065,2A060A.....B-151  TA-A1-24X065  NISSEI SEIKO,Active,6,STOCK CAGE,EA,5.53,AAC KOKI
B-152-HEXB11-TA-A1-24X070,2A060B.....B-152  TA-A1-24X070  NISSEI SEIKO,Active,13,STOCK CAGE,EA,5.45,AAC KOKI
B-153-HEXB11-TA-A1-24X075,2A060C.....B-153  TA-A1-24X075  NISSEI SEIKO,Active,13,STOCK CAGE,EA,2.99,AAC KOKI
B-154-HEXB11-TA-A1-24X080,2A060D.....B-154  TA-A1-24X080  NISSEI SEIKO,Active,10,STOCK CAGE,EA,3.19,AAC KOKI
