Item,Item Description,Item Status,Quantity,Subinventory,UOM,Location,Lot Number,Organization
S000001,(INACTIVE).....PHILLIPS POWER BIT #3  [ 9301112008 ],Inactive,0,,,,0.86,AAC Plant 1
S000002,SLOAN 1.6 GPF CLOSET KIT [ A41A ]  FERGUSON #S3301041,Active,2,STOCK CAGE,EA,1B012C,33.45,AAC Plant 1
S000002,SLOAN 1.6 GPF CLOSET KIT [ A41A ]  FERGUSON #S3301041,Active,2,STOCK CAGE,EA,2Q018C,33.45,AAC Plant 2
S000003,(INACTIVE).....1/4 BSP LH ROTOR [ 1102070104 ],Inactive,0,,,,186.3,AAC Plant 1
S000004,"(INACTIVE).....1/4"" AIR FITTING FOR 1/4"" AIR HOSE [ 13005 ]COMMON",Inactive,0,,,,5.6,AAC Plant 1
S000005,OMRON 3M CABLE FOR F3S-A [ F39-JA1C ]  [ F39JA1C ]VVT/351,OBSOLETE,0,,,,267.95,AAC Plant 1
S000006,OMRON 7 MM CABLE FOR F3S-A [ F39-JA2C-L ] [ F39JA2CL ]VVT/351,OBSOLETE,0,,,,168.66,AAC Plant 1
S000007,(INACTIVE).....90 DEGREE ANGLE HEAD [ 00PG63102 ],Inactive,0,,,,1764.71,AAC Plant 1
S000008,90 DEGREE QUICK SEAL [ L4N10X8PT 1/4 ] FINISH,Active,14,STOCK CAGE,EA,TC4-D02J,2.47,AAC Plant 2
S000009,90 DEGREE QUICK SEAL [ L4N8X6PT 1/4 ] FINISH,Active,11,STOCK CAGE,EA,TC4-D02K,1.74,AAC Plant 2
S000010,L4N8X6PT 1/8  90 DEGREE QUICK SEAL  FINISH,Active,26,STOCK CAGE,EA,TC4-D02L,1.74,AAC Plant 2
S000011,(INACTIVE).....90 REPAIR KIT [ 9008A ],Inactive,0,,,,10,AAC Plant 1
S000012,ABSCODER COUNTER   [NCV-30NBNLC] REPLACES [ AL220-7A1 ],Active,2,STOCK CAGE,EA,1C111C,2468.6,AAC Plant 1
S000013,ABSOLUTE ENCODER [ ASCSP10GC ] REPLACES ASS256G24C,Active,1,STOCK CAGE,EA,2V038B,357.14,AAC Plant 2
S000014,ABSOLUTE ENCODER [ ASCSP8GC ] DC 500-800,Active,1,STOCK CAGE,EA,2V038C,357.14,AAC Plant 2
S000015,ABSOLUTE ENCODER [ ASS-1024G ] DC03 DCL3010 [2250 LADLE ENCODER],Active,2,STOCK CAGE,EA,1A075E,724.3,AAC Plant 1
S000016,(INACTIVE).....ABSOLUTE ENCODER [ ASS256GC2430000E ] REPLACES [ ASS256G ]DC24V 50CM,Inactive,0,,,,323.54,AAC Plant 1
S000017,PANASONIC AC GEAR MOTOR [ M7RA15GB4Y ]  PANASONIC,Active,1,STOCK CAGE,EA,1J029B,224,AAC Plant 1
S000018,PANASONIC AC GEAR MOTOR [ M8RX25GB4L REPLACES M8RA25GB4L ] DC06 BACK PRESSURE CV MOTOR,Active,2,STOCK CAGE,EA,1J032F,237.8,AAC Plant 1
S000018,PANASONIC AC GEAR MOTOR [ M8RX25GB4L REPLACES M8RA25GB4L ] DC06 BACK PRESSURE CV MOTOR,Active,1,STOCK CAGE,EA,2K009I,237.8,AAC Plant 2
S000019,PANASONIC AC GEAR MOTOR [ M9RA40G4Y ],Active,1,STOCK CAGE,EA,1J028A,310,AAC Plant 1
S000020,PANASONIC AC GEAR MOTOR [ M9RA40GB4Y ],Active,1,STOCK CAGE,EA,1J028C,225,AAC Plant 1
S000021,AC LINE FILTER [ A81L00010083 # 3C],Active,1,STOCK CAGE,EA,2L004A,227,AAC Plant 2
S000022,AC LINE FILTER [ A81L00010101 #C ],Active,1,STOCK CAGE,EA,2Z048A-1,288,AAC Plant 2
S000023,FANUC AC MOTOR [ A06B-0314-B272 ],Active,1,STOCK CAGE,EA,1U004E,1,AAC Plant 1
S000024,TSUBAKIMOTO AC MOTOR [ CLM040520LBW4409 ](70808HHL369)LS71 EMERSON,Active,1,STOCK CAGE,EA,1ZA004C,226,AAC Plant 1
S000025,(INACTIVE).....US MOTOR AC MOTOR [ HW15EK9CP ] CT-1 COOLING TOWER,Inactive,0,,,,1500,AAC Plant 1
S000026,"LINCOLN MOTOR [LM16757] 10HP, 1450RPM, FRAME 215TC REPLACES LEESON[ TF4288C ]",Active,2,STOCK CAGE,EA,1DM-A12,1006.94,AAC Plant 1
S000027,AC REACTOR POWER SUPPLY / [ A81L00010122 ],Active,2,STOCK CAGE,EA,2Z045H,259,AAC Plant 2
S000028,AC REACTOR POWER SUPPLY [ A81L00010120 ],Active,1,STOCK CAGE,EA,2J016D,515.62,AAC Plant 2
S000029,FANUC AC SERVO AMPLIFIER [ A06B-6079-H106 ],Active,1,STOCK CAGE,EA,1A045C,4163.93,AAC Plant 1
S000029,FANUC AC SERVO AMPLIFIER [ A06B-6079-H106 ],Active,2,STOCK CAGE,EA,2H009A,4163.93,AAC Plant 2
S000030,AC SERVO CONTROLLER [ 1391B-AA22 ],Active,1,STOCK CAGE,EA,1A039A,256,AAC Plant 1
S000031,"ALLEN BRADLEY AC SERVO MOTOR [ 122250 ]24.6 AMP, 3000 RPM",Active,2,STOCK CAGE,EA,1T009E,271,AAC Plant 1
S000032,FANUC AC SERVO MOTOR [ A06B-0032-B075#0008]  B2/3000 A32B w/ Keyway,Active,1,STOCK CAGE,EA,1T003A,1398.15,AAC Plant 1
S000033,MITSUBISHI AC SERVO MOTOR [HG-SR52B] REPLACES [ HCSF52B ],Active,1,STOCK CAGE,EA,1U004G,1013.64,AAC Plant 1
S000034,AC SERVO MOTOR / SANY0 DENKI [ P20B10100DXS00 ],Active,2,STOCK CAGE,EA,2K011F,1549.58,AAC Plant 2
S000035,AC SERVO MOTOR / SANYO DENKI [ P20B10150DXS00 ]SDDV DC06 9020 DC02 DCL9001,NoPurchase,0,,,,1435.5,AAC Plant 1
S000035,AC SERVO MOTOR / SANYO DENKI [ P20B10150DXS00 ]SDDV DC06 9020 DC02 DCL9001,NoPurchase,0,,,,1435.5,AAC Plant 2
S000036,"YASKAWA AC SERVO MOTOR  [ SGMP02U314M ] 200WATT, 200VOLT, 2.0AMP, SER. # 9W0461-1-27  YASKAWA",Active,2,STOCK CAGE,EA,1U008F,1,AAC Plant 1
S000037,FANUC AC SPINDLE MOTOR [ A06B-0850-B390#3000 ],Active,1,STOCK CAGE,EA,1U004C,2338.28,AAC Plant 1
S000038,FANUC AC SPINDLE MOTOR [ A06B-0854-B390#3000 ],Active,1,STOCK CAGE,EA,1T005D,8048.4,AAC Plant 1
S000039,OBSOLETE.....ACTIVATING SCREW [ 104HT103 / GREEN 3 ],OBSOLETE,0,,,,5,AAC Plant 1
S000040,(INACTIVE).....ACTUATOR [ CDRQ2BS2090C ],Inactive,0,,,,1000,AAC Plant 1
S000041,(INACTIVE).....ACTUATOR [ DA109 ],Inactive,0,,,,149.48,AAC Plant 1
S000042,ACTUATOR [ EA5100010 ],Active,2,STOCK CAGE,EA,1G050C,551.22,AAC Plant 1
S000043,ACTUATOR [ MSQB30A ],Active,1,STOCK CAGE,EA,1G048A,347.02,AAC Plant 1
S000044,HONEYWELL ACTUATOR  [ V4055A1007 ] FURNACE / DC,Active,1,STOCK CAGE,EA,2M002B,174,AAC Plant 2
S000045,HONEYWELL ACTUATOR  [ V4055A1031 ] FURNACE / DC,Active,1,STOCK CAGE,EA,2M002C,189,AAC Plant 2
S000046,HONEYWELL ACTUATOR  [ V4055D1035 ] FURNACE / DC,Active,1,STOCK CAGE,EA,2M002A,242,AAC Plant 2
S000047,ACTUATOR COIL [ CAV2 ] DC 24V / 500-800 TON / DC,Active,4,STOCK CAGE,EA,2V102C,110.4,AAC Plant 2
S000048,ADAPTOR [ H230940MM ],Active,15,STOCK CAGE,EA,1K022B,18.5,AAC Plant 1
S000049,ADAPTOR ASSEMBLY [ 30871120 ] MML-7029,Active,12,STOCK CAGE,EA,TCE-D014B,16.6,AAC Plant 1
S000050,ADAPTOR PLATE PANEL MOUNT [ DE371 PADV606 ] DC,Active,2,STOCK CAGE,EA,1C091E,98,AAC Plant 1
S000051,ADJUST BOLT [ 0441943000 ] (PISTON LINE),OBSOLETE,0,,,,40,AAC Plant 1
