Loc.,Item #,Manuf. ,Part #,Description,Qty.,1ST CHECK,2ND CHECK,NOTES,WORK ORDER,Cost,Total Value,Cost New,,
1R-A01A,S002122,FANUC,A06B-6087-H126,AMPLIFIER,8,,,,,"1,800.00","$14,400.00","$4,994.00",,
1R-A02B,,FANUC,A06B-6114-H207,AMPLIFIER,1,,,,127733,"1,488.00","$1,488.00",,,
1R-A03A,S002121,FANUC,A06B-6077-H111,POWER SUPPLY,11,,,,,"1,300.00","$14,300.00","$3,784.00",,
1R-A04A,S010721,FANUC,A06B-6107-H002,AMPLIFIER,1,,,,,"2,800.00","$2,800.00","$9,990.00",,
1R-A04A,S010721,FANUC,A06B-6107-H002,AMPLIFIER,1,,,,127726,"2,887.00","$2,887.00","$9,990.00",,
1R-A04B,,FANUC,A06B-6087-H137,POWER SUPPLY,1,,,,,"1,932.00","$1,932.00","$1,932.00",,
1R-A05A,S002120,FANUC,A06B-6077-H106,AMPLIFIER,2,,,,127366/126134,"1,397.00","$2,794.00","$3,394.00",,
1R-A05B,S010416,FANUC,A06B-6140-H011,AMPLIFIER,1,,,,,"1,689.00","$1,689.00","$3,784.00",,
1R-A05C,,FANUC,A06B-6100-H001,AMP,1,,,,,"3,257.00","$3,257.00 ",,, 
1R-A06A,S005543,FANUC ,A06B-6078-H206,AMPLIFIER,5,,,,,"1,312.00","$6,560.00","$5,226.00",,
1R-A06B,S004003,NEMIC-LAMBDA,JWS150-24/A,POWER SUPPLY,1,,,,,1.00,$1.00 ,,,
1R-A07A,S000029,FANUC,A06B-6078-H211-H500,AMPLIFIER,9,,,,,"2,000.00","$18,000.00","$5,326.30",,
1R-A08A,S011301,FANUC,A06B-6140-H015,AMPLIFIER,2,,,,,"1,821.00","$3,642.00","$4,520.00",,
1R-A08B,S016022,FANUC,A06B-6400-H005,AMPLIFIER,2,,,,,"3,600.00","$7,200.00","$11,170.00",,
1R-A09A,S002126,FANUC,A06B-6079-H101,AMPLIFIER,1,,,,,975.00,$975.00,"$1,894.00",,
1R-A09B,S002127,FANUC,A06B-6079-H103,AMPLIFIER,3,,,,,319.00,$957.00,"$2,503.00",,
1R-A09C,S000164,FANUC,A06B-6079-H105,AMPLIFIER,1,,,,,"1,070.00","$1,070.00","$2,676.00",,
1R-A100A,S011089,STANLEY,21A108721,CONROL BOX,2,,,,,1.00,$2.00,"$6,075.00",,
1R-A100B,,STANLEY,21A108724,CONTROL BOX,1,,,,,1.00,$1.00,"$6,075.00",,
1R-A100C,,ALLEN-BRADLEY,1391B-AA22,SERVO CONTROLLER,1,,,,,825.00,$825.00,$0.00,,
1R-A101A,S004841,FANUC,A06B-6076-H106,AMP,3,,,,,"3,215.00","$9,645.00","$12,404.40",,
1R-A101B,,HAKKO,V610T10,MONITOR,1,,,,,1.00,$1.00 ,,,
1R-A102A,,NITTO SEIKO,RC-2000-P,NITOMAN PROGRAMMER,1,,,,,"2,080.00","$2,080.00",,,
1R-A10A,?,FANUC,A06B-6058-H332,AMPLIFIER,5,,,,,"2,368.00","$11,840.00","$1,186.00",,
1R-A11A,S000029,FANUC,A06B-6079-H106,AMPLIFIER,9,,,,,"1,684.00","$15,156.00","$3,394.00",,
1R-A12A,S000165,FANUC,A06B-6079-H206,AMPLIFIER,5,,,,,"1,400.00","$7,000.00","$3,996.00",,
1R-A12B,S004843,FANUC,A06B-6079-H201,AMPLIFIER,3,,,,,350.00,"$1,050.00","$2,632.00",,
1R-A13A,S000166,FANUC,A06B-6079-H207,AMPLIFIER,7,,,,,"1,276.00","$8,932.00","$4,025.00",,
1R-A13B,S005776,HONEYWELL,DC2500-E0-0L00-200-100000-E0-0,COUNTER,3,,,,,385.00,"$1,155.00",$700.94,,
1R-A14A,S002131,FANUC,A06B-6079-H208,AMPLIFIER,7,,,,,"1,397.00","$9,779.00","$4,471.00",,
1R-A14B,?,FANUC,A06B-6079-H209,AMPLIFIER,1, ,,,,500.00,$500.00,,,
1R-A15B,,FANUC,A02B-0236-B532,CNC CONTROLLER,1,,,,,1.00,$1.00,,,
1R-A16A,S002132,FANUC,A06B-6080-H301,AMPLIFIER,1,,,,,850.00,$850.00,"$3,613.00",,
1R-A16B,?,FANUC,A06B-6080-H307,AMPLIFIER,1,,,,,"1,200.00","$1,200.00","$9,563.56",,
1R-A16C,,FANUC,A06B-6141-H022,AMPLIFIER,1,,,,127626,"2,769.00","$2,769.00",,,
1R-A17A,S013712,FANUC,A06B-6140-H006,SERVO AMP,1,,,,,"1,598.00","$1,598.00","$3,757.00",,
1R-A17B,?,FANUC ,A06B-6088-H222,AMPLIFIER,1,,,,,"1,050.00","$1,050.00",,,
1R-A17C,?,FANUC,A06B-6089-H104,AMPLIFIER,1,,,,,995.00,$995.00,"$6,048.00",,
1R-A18A,S002133,FANUC,A06B-6090-H004,AMPLIFIER,1,,,,,"1,650.00","$1,650.00","$1,931.00",,
1R-A18B,S013486,FANUC,A06B-6096-H207,AMPLIFIER,4,,,,,"1,742.00","$6,968.00","$4,484.00",,
1R-A19A,S002139,FANUC,A06B-6100-H002,AMPLIFIER,2,,,,,"3,000.00","$6,000.00","$16,321.00",,
1R-A19A,S002139,FANUC,A06B-6100-H002,AMPLIFIER,1,,,,,"3,417.00","$3,417.00","$16,321.00",,
1R-A19A,S002139,FANUC,A06B-6100-H002,AMPLIFIER,3,,,,133368,"3,398.00","$3,398.00","$16,321.00",,
1R-A19A,S002139,FANUC,A06B-6100-H002,AMPLIFIER,1,,,,,"3,725.00","$3,725.00","$16,321.00",,
1R-A19A,S002139,FANUC,A06B-6100-H002,AMPLIFIER,1,,,,102488,"3,521.00","$3,521.00","$16,231.00",,
1R-A19A,S002139,FANUC,A06B-6100-H002,AMPLIFIER,2,,,,,"3,969.00","$3,969.00","$16,231.00",,
1R-A21A,,RIKO,VSCP-60-N,MODULE,1,,,,,475.00,$475.00 ,,,
1R-A21B,S010805,PANASONIC,SF-C14EX,APP EXPANSION,1,,,,,1.00,$1.00 ,,,
1R-A21C,S003724,FANUC,A16B-2201-0472,PC BOARD,1,,,,,1.00,$1.00 ,,,
1R-A22A,S004845,FANUC,A06B-6096-H103,AMPLIFIER,4,,,,,"1,297.00","$5,188.00","$2,503.00",,
1R-A22B,S002135,FANUC,A06B-6096-H104,AMPLIFIER,7,,,,,"1,234.00","$8,638.00","$3,118.00",,
1R-A23A,S002136,FANUC,A06B-6096-H105,AMPLIFIER,3,,,,,"1,389.00","$4,167.00","$2,650.00",,
1R-A23B,,FANUC,A06B-6150-H045,POWER SUPPLY,1,,,,,"3,689.00","$3,689.00","$9,563.56",,
1R-A23C,S002137,FANUC,A06B-6096-H106,AMPLIFIER,3,,,,,"1,225.00","$3,675.00","$4,246.00",,
1R-A24A,S004848,FANUC,A06B-6096-H116,AMPLIFIER,9,,,,,"1,621.00","$14,589.00","$4,246.00",,
1R-A24B,S002138,FANUC,A06B-6096-H206,AMPLIFIER,3,,,,,"1,500.00","$4,500.00","$4,038.00",,
1R-A25A,S004849,FANUC,A06B-6096-H208,AMPLIFIER,10,,,,,"1,800.00","$18,000.00","$3,963.00",,
1R-A26A,S004838,FANUC,A06B-6058-H324,AMPLIFIER,1,,,,,845.00,$845.00,"$6,589.00",,
1R-A26B,?,FANUC,A06B-6064-H302,AMPLIFIER,1,,,,,"1,486.00","$1,486.00","$4,988.45",,
1R-A26C,,FANUC,A16B-2203-0370,BOARD,1,,,,125821,725.00,$725.00 ,,,
1R-A27A,S005541,FANUC,A06B-6102-H202,AMPLIFIER,1,,,,,"1,282.00","$1,282.00","$4,989.00",,
1R-A27B,?,FANUC,A06B-6098-H111,AMPLIFIER,1,,,,,"1,525.00","$1,525.00",,,
1R-A27C,S011317,FANUC ,A06B-6117-H209,AMPLIFIER,1,,,,,"1,812.00","$1,812.00","$4,248.00",,
1R-A28A,S005543,FANUC,A06B-6102-H206,AMPLIFIER,7,,,,,"2,300.00","$16,100.00","$5,226.00",,
1R-A28B,,KEYENCE,FD-SS2A,FLOW SENSOR,1,,,,,"1,00",$1.00 ,,,
1R-A29A,S002143,FANUC,A06B-6102-H211,AMPLIFIER,6,,,,,"1,689.00","$10,134.00","$5,058.00",,
1R-A29B,,FANUC,A06B-6087-H130,POWER SUPPLY,1,,,,,"1,681.00","$1,681.00 ",,,
1R-A30A,S002145,FANUC,A06B-6102-H226,AMPLIFIER,2,,,,,972.00,"$1,944.00","$6,351.00",,
1R-A30B,S009518,FANUC,A06B-6102-H230,AMPLIFIER,1,,,,,"2,979.00","$2,979.00","$8,719.00",,
1R-A30C,,FANUC,A06B-6240-H209,AMP,1,,,,135114,"1,492.00","$1,492.00","$8,523.00",,
1R-A30C,S013603,FANUC,A06B-6240-H209,AMP,0,,,,125101,"1,125.00",$0.00,"$8,523.00",,
1R-A31A,,FANUC,A06B-6200-H011,AMP,1,,,,133394,"1,948.00","$1,948.00",,,
1R-A31B,,FANUC,A06B-6240-H105,AMP,1,,,,,,,,,
1R-A31C,?,FANUC,A06B-6064-C303,AMPLIFIER,1,,,,,980.00,$980.00,"$4,500.00",,
