Date,Plant,Shift,Machine Number,Part Description,Die Number,Die Related Downtime Reason,Die Related Downtime Minutes,Die Related Downtime Notes,DRD DT Description,DRD Start Time,DRD Stop Time
1-Mar-22,AAC Plant 2,1,1650-1,"103E Oil Pan, No. 1  DC",3,Cavity Damage,135,core-5 insert ng; broke pin on s/s,Die Related,01:45 PM,04:00 PM
1-Mar-22,AAC Plant 2,1,2250-1,946F Crankcase DC,1,Stuck part(Die),20,stuck month stamp,Die Related,05:15 AM,05:35 AM
1-Mar-22,AAC Plant 2,1,2250-10,G300 TRANSMISSION CASE DC,3,Die Polish,20,epolish; galling in spline; called dm,Die Related,01:10 PM,01:30 PM
1-Mar-22,AAC Plant 2,1,2250-10,G300 TRANSMISSION CASE DC,3,L/S Issue,35,core-1 l/s fault,Die Related,07:25 AM,08:00 AM
1-Mar-22,AAC Plant 2,1,2250-12,BC01 Transmission Case DC,12,Flash Out,10,small biscuit; flashed out on c-1,Die Related,09:10 AM,09:20 AM
1-Mar-22,AAC Plant 2,1,2250-2,744 TA HOUSING AWD DC,2,L/S Issue,15,c-1 l/s fault; runner hung on ;/s,Die Related,08:40 AM,08:55 AM
1-Mar-22,AAC Plant 2,1,2250-4,946F Crankcase DC,12,Die Polish,25,epolish,Die Related,11:00 AM,11:25 AM
1-Mar-22,AAC Plant 2,1,2250-5,G298 TA HOUSING AWD DC,5,Die Chip/Crack,40,die chip repair; qe request; called dm,Die Related,11:40 AM,12:20 PM
1-Mar-22,AAC Plant 2,1,500-2,B700 V6 Stator Wheel DC,9,Die Polish,50,trim press warping a-cavity; called dm,Die Related,01:10 PM,02:00 PM
1-Mar-22,AAC Plant 2,1,500-2,B700 V6 Stator Wheel DC,9,Die Polish,45,trim press build up; causing warped parts and drag marks; called dm,Die Related,07:05 AM,07:50 AM
1-Mar-22,AAC Plant 2,1,800-1,744K CENTER SUPPORT DC,6,Stuck part(Die),18,stuck part; die open time over,Die Related,09:20 AM,09:38 AM
1-Mar-22,AAC Plant 2,1,800-2,G300 CENTER SUPPORT DC,11,Die Polish,7,epolish; galling,Die Related,03:14 PM,03:21 PM
