Date,Plant,Shift,Machine Number,Part Description,Die Number,Indirect Downtime Reason,Indirect Downtime Minutes,Indirect Downtime Notes,ID DT Description,ID Start Time,ID Stop Time
1-Mar-22,AAC Plant 2,1,2250-12,BC01 Transmission Case DC,12,Clean Up,10,over 4s+d,Misc.,01:55 PM,02:05 PM
1-Mar-22,AAC Plant 2,1,2250-13,G300 TRANSMISSION CASE DC,7,Clean Up,10,over 4s+d,Misc.,10:45 AM,10:55 AM
1-Mar-22,AAC Plant 2,1,2250-13,G300 TRANSMISSION CASE DC,7,Condition Check Die,20,condition check; no leaks; pulled long vac to remove excessive die lube from HB,Die Related,12:50 PM,01:10 PM
1-Mar-22,AAC Plant 2,1,2250-7,881 Oil Pan DC,6,Condition Check Die,15,qe request; shrinkage; no leaks adj water,Die Related,02:15 PM,02:30 PM
1-Mar-22,AAC Plant 2,2,2250-10,G300 TRANSMISSION CASE DC,3,Die Change,325,carryover; auto change not working; called maint and dm,Die Related,11:05 PM,04:30 AM
1-Mar-22,AAC Plant 2,2,2250-10,G300 TRANSMISSION CASE DC,3,Condition Check Die,25,condition check; 2/3 leaker,Die Related,06:45 PM,07:10 PM
1-Mar-22,AAC Plant 2,2,2250-13,G300 TRANSMISSION CASE DC,7,Condition Check Die,50,leakers on c-2 circuit,Die Related,12:20 PM,01:10 AM
1-Mar-22,AAC Plant 2,2,2250-2,744 TA HOUSING FWD DC,1,Clean Up,10,over 4s+d,Misc.,01:25 AM,01:35 AM
1-Mar-22,AAC Plant 2,2,2250-5,G298 TA HOUSING AWD DC,5,Die Change,55,carryover from 4s+d; broke pin on m/s. called dm,Die Related,07:40 AM,08:35 AM
2-Mar-22,AAC Plant 2,1,2250-10,G300 TRANSMISSION CASE DC,1,Condition Check Die,20,Developer check per supervisor; No leaks,Die Related,09:50 AM,10:10 AM
2-Mar-22,AAC Plant 2,1,2250-10,G300 TRANSMISSION CASE DC,1,Condition Check Die,15,Developer check; Spruce core leaking,Die Related,01:45 PM,02:00 PM
2-Mar-22,AAC Plant 2,1,2250-10,G300 TRANSMISSION CASE DC,1,Die Change,0,Carry over die change; Waiting on dm to core swap die 1,Die Related,05:00 AM,08:00 AM
2-Mar-22,AAC Plant 2,1,2250-13,G300 TRANSMISSION CASE DC,7,Condition Check Die,30,CC,Die Related,11:20 AM,11:50 AM
2-Mar-22,AAC Plant 2,1,2250-2,744 TA HOUSING FWD DC,1,Other (Indirect),20,Safety plug pulled under deck; Catcher trying to clean belly pan,Casting Process/Equipment,10:00 AM,10:20 AM
2-Mar-22,AAC Plant 2,1,2250-5,G298 TA HOUSING AWD DC,1,Die Change,30,Die change,Die Related,09:00 AM,09:30 AM
