Date,Plant,Shift,Machine Number,Part Description,Die Number,Machine Related Downtime Reason,Machine Related Downtime Minutes,Machine Related Downtime Notes,MRD DT Description,MRD Start Time,MRD Stop Time
1-Mar-22,AAC Plant 2,1,2250-1,946F Crankcase DC,1,Press/BSM Mech,45,scrap chute backed up at peener,Casting Process/Equipment,06:40 AM,07:25 AM
1-Mar-22,AAC Plant 2,1,2250-1,946F Crankcase DC,1,Press/BSM Mech,10,gate press backed up; ULR stopped at T/P,Casting Process/Equipment,10:00 AM,10:10 AM
1-Mar-22,AAC Plant 2,1,2250-10,G300 TRANSMISSION CASE DC,3,Press/BSM Elec,40,stuck part; core 1 out timeover,Casting Process/Equipment,03:50 PM,04:30 PM
1-Mar-22,AAC Plant 2,1,2250-11,BC01 Transmission Case DC,8,Laser Etch-MRD,10,ng laser etch; cleaned laser machine,Casting Process/Equipment,01:10 PM,01:20 PM
1-Mar-22,AAC Plant 2,1,2250-11,BC01 Transmission Case DC,8,Ladle-MRD,10,build up on sleeve; ladle mispoured,Casting Process/Equipment,08:20 AM,08:30 AM
1-Mar-22,AAC Plant 2,1,2250-12,BC01 Transmission Case DC,12,Laser Etch-MRD,10,laser fault; part stuck in laser,Casting Process/Equipment,02:45 PM,02:55 PM
1-Mar-22,AAC Plant 2,1,2250-12,BC01 Transmission Case DC,12,Unload Robot Mech,10,part broke off biscuit; ulr fault,Casting Process/Equipment,08:10 AM,08:20 AM
1-Mar-22,AAC Plant 2,1,2250-13,G300 TRANSMISSION CASE DC,7,Unload Robot Mech,35,ulr fault; scrap chute jammed,Casting Process/Equipment,02:45 PM,03:20 PM
1-Mar-22,AAC Plant 2,1,2250-3,744 TA HOUSING FWD DC,1,DC Mach Mech,50,ulr fault; ejector fwd timeover; found rod broke to make l/s read,Casting Process/Equipment,09:30 AM,10:20 AM
1-Mar-22,AAC Plant 2,1,2250-4,946F Crankcase DC,12,Press/BSM Mech,10,t/p fault; misload,Casting Process/Equipment,02:50 PM,03:00 PM
1-Mar-22,AAC Plant 2,1,2250-4,946F Crankcase DC,12,Vacuum (Mach),70,vac fault; vac pressure; call maint,Casting Process/Equipment,07:00 AM,08:10 AM
1-Mar-22,AAC Plant 2,1,2250-6,984F Crankcase DC,2,Unload Robot Mech,10,ulr fault; bent biscuit,Casting Process/Equipment,08:30 AM,08:40 AM
1-Mar-22,AAC Plant 2,1,2250-6,984F Crankcase DC,2,Unload Robot Mech,10,bent biscuit,Casting Process/Equipment,01:10 PM,01:20 PM
1-Mar-22,AAC Plant 2,1,2250-6,984F Crankcase DC,2,Unload Robot Mech,10,ulr fault; misload at bsm,Casting Process/Equipment,07:30 AM,07:40 AM
1-Mar-22,AAC Plant 2,1,2250-7,881 Oil Pan DC,6,Unload Robot Mech,10,ulr fault; ng photo eye; cleaned photo eye,Casting Process/Equipment,03:00 PM,03:10 PM
1-Mar-22,AAC Plant 2,1,2250-8,19MY NONPTO TRANSMISSION CASE DC,1,Spray Robot Mech,10,spray cycle,Casting Process/Equipment,05:15 AM,05:25 AM
1-Mar-22,AAC Plant 2,1,500-2,B700 V6 Stator Wheel DC,9,Spray Robot Mech,60,spray upper limit,Casting Process/Equipment,11:00 AM,12:00 PM
1-Mar-22,AAC Plant 2,1,500-2,B700 V6 Stator Wheel DC,9,DC Mach Mech,60,die open process timeover; machine locked up; called maint,Casting Process/Equipment,03:30 PM,04:30 PM
1-Mar-22,AAC Plant 2,1,500-2,B700 V6 Stator Wheel DC,9,Spray Robot Mech,10,spray upper limit; scw; me and pe looking at lubricant pumping device,Casting Process/Equipment,10:35 AM,10:45 AM
1-Mar-22,AAC Plant 2,1,500-2,B700 V6 Stator Wheel DC,9,Spray Robot Mech,48,spray upper limit; scw; called maint,Casting Process/Equipment,09:30 AM,10:18 AM
1-Mar-22,AAC Plant 2,1,500-2,B700 V6 Stator Wheel DC,9,Spray Robot Mech,10,spray upper limit,Casting Process/Equipment,09:00 AM,09:10 AM
1-Mar-22,AAC Plant 2,1,500-2,B700 V6 Stator Wheel DC,9,Spray Robot Mech,10,spray upper limit,Casting Process/Equipment,08:40 AM,08:50 AM
1-Mar-22,AAC Plant 2,1,500-2,B700 V6 Stator Wheel DC,9,Spray Robot Mech,20,spray over limit; lubricated pump pressurizing mid cycle,Casting Process/Equipment,08:10 AM,08:30 AM
1-Mar-22,AAC Plant 2,1,500-2,B700 V6 Stator Wheel DC,9,DC Mach Mech,20,t/p not moving ; called maint,Casting Process/Equipment,06:09 AM,06:29 AM
1-Mar-22,AAC Plant 2,1,500-2,B700 V6 Stator Wheel DC,9,Spray Robot Mech,10,extractor fault; spray low limit,Casting Process/Equipment,05:45 AM,05:55 AM
